,SMILES,Value
0,C,810.0
1,CC,745.0
2,CCC,723.0
3,CC(C)C,733.15
4,CCCC,561.0
5,CCCCC,516.0
6,CC(C)CC,693.15
7,CC(C)(C)C,723.15
8,CCCCCC,498.0
9,CC(C)CCC,579.0
10,CCC(C)CC,551.15
11,CC(C)(C)CC,698.15
12,CC(C)C(C)C,693.15
13,CCCCCCC,477.0
14,CC(C)CCCC,553.15
15,CCC(C)CCC,553.15
16,CC(C)C(C)CC,608.15
17,CC(C)(C)C(C)C,723.15
18,CCCCCCCC,479.0
19,CC(C)C(CC)CC,733.15
20,CC(C)(C)C(C)CC,703.15
21,CC(C)(C)CC(C)C,684.15
22,CC(C)C(C)(C)CC,703.15
23,CCCCCCCCC,478.0
24,CCC(CC)(CC)CC,563.15
25,CC(C)(C)C(C)(C)CC,703.15
26,CC(C)C(C)(C)C(C)C,703.15
27,CCCCCCCCCC,474.0
28,C1CCCCC1CC(C)C,547.15
29,C1CCCCC1C(C)(C)C,615.15
30,CCCCCCCCCCCC,476.0
31,CCCCCCCCCCCCCC,473.0
32,CCCCCCCCCCCCCCCC,474.0
33,CCCCCCCCCCCCCCCCCCCCCCCC,508.0
34,CCCCCCCCCCCCCCCCCCCCCCCCC,505.0
35,CCCCCCCCCCCCCCCCCCCCCCCCCC,581.0
36,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,594.0
37,CC(C)CCCCCCC,487.15
38,CC(C)CCCCCC,493.15
39,CCC(C)CCCCC,493.15
40,CCCC(C)CCCC,493.15
41,C1CC1,771.0
42,C1CCCC1,634.15
43,C1(CC)CCCC1,533.15
44,C1CCCC1(CCC),542.15
45,C1CCCC1(CCCC),523.15
46,C1CCCCC1,518.15
47,C1CCCCC1(C),523.15
48,C1[C@@](C)([H])([C@]([H])(C)(CCC1)),577.15
49,C1[C@](C)([H])([C@]([H])(C)(CCC1)),577.15
50,C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),579.0
51,C1[C@](C)([H])(C[C@]([H])(C)(CC1)),579.0
52,C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),577.0
53,C1[C@](C)([H])(CC[C@]([H])(C)(C1)),577.0
54,C1[C@](C)([H])(C[C@]([H])(C)(C[C@]1([H])(C))),587.15
55,C1CCCCC1CCC,521.15
56,C1CCCCC1C(C)C,556.15
57,C1CCCCC1CCCC,519.15
58,C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),523.15
59,C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),528.15
60,C1CCCCC1C2CCCCC2,518.15
61,C1CCCCC1(CC)(CC),513.15
62,CC(C)(C)C(C)CCC,613.15
63,CC(C)C(CC)C(C)C,663.15
64,C=C,723.15
65,C=CC,728.15
66,C=CCC,657.0
67,C/C=C\C,598.0
68,C/C=C/C,597.0
69,C=C(C)C,738.15
70,C=CCCC,546.0
71,C=CCCCC,526.0
72,C/C=C\CCC,518.0
73,C/C=C/CCC,518.0
74,C=C(C)CCC,573.15
75,C=CCC(C)C,573.15
76,C=C(CC)CC,588.15
77,C=C(C)C(C)C,633.15
78,CC(C)=C(C)C,673.7
79,C=CCCCCC,533.15
80,C=C(C)C(C)(C)C,650.0
81,C=CCCCCCC,503.15
82,CC1CCCCC=1,493.15
83,C=C(C)CC(C)(C)C,664.15
84,CC(C)=CC(C)(C)C,581.0
85,C=CCCCCCCCC,508.15
86,C=CCCCCCCCCCC,528.15
87,C=CCCCCCCCCCCCC,508.0
88,C=CCCCCCCCCCCCCCC,513.15
89,C=CCCCCCCCCCCCCCCCC,523.15
90,C1=CCCC1,668.15
91,C1=CCCCC1,583.15
92,C1=CCC(C=C)CC1,543.0
93,C1=[C@](C)(CCC([C@](=C)(C))C1),510.0
94,C=CC=C,693.15
95,C=C(C)C=C,493.15
96,C=CCCC=C,592.15
97,C1(C)=CC=CC1,718.15
98,C1=CC=CC1,913.15
