,SMILES,Value
0,C,5.0
1,CC,3.0
2,CCC,2.1
3,CC(C)C,1.8
4,CCCC,1.6
5,CCCCC,1.4
6,CC(C)CC,1.4
7,CC(C)(C)C,1.4
8,CCCCCC,1.2
9,CC(C)CCC,1.2
10,CCC(C)CC,1.2
11,CC(C)(C)CC,1.2
12,CC(C)C(C)C,1.2
13,CCCCCCC,1.05
14,CC(C)CCCC,1.0
15,CC(C)C(C)CC,1.1
16,CC(C)(C)C(C)C,1.0
17,CCCCCCCC,0.96
18,CC(C)(C)CC(C)C,0.95
19,CCCCCCCCC,0.8499999999999999
20,CCC(CC)(CC)CC,0.6999999999999998
21,CC(C)(C)C(C)(C)CC,0.8
22,CCCCCCCCCC,0.75
23,CCCCCCCCCCCC,0.5999999999999999
24,CCCCCCCCCCCCC,0.55
25,CCCCCCCCCCCCCC,0.5
26,C1CC1,2.4
27,C1CCC1,1.8
28,C1(CC)CCCC1,1.1
29,C1CCCC1(CCC),0.95
30,C1CCCCC1,1.3
31,C1CCCCC1(C),1.15
32,C1CCCCC1(CC),0.9
33,C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),0.7099999999999999
34,C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),0.7099999999999999
35,C1CCCCC1C2CCCCC2,0.65
36,C1CCCCC1(CC)(CC),0.75
37,C1CCCCCC1,1.1
38,CC(C)C(C)CCCCCCCCC,0.5
39,C=C,2.7
40,C=CC,2.15
41,C=CCC,1.6
42,C/C=C\C,1.7
43,C/C=C/C,1.7
44,C=C(C)C,1.8
45,C=CCCC,1.4
46,C=C(C)CC,1.4
47,CC(C)=CC,1.4
48,C=CCCCC,1.2
49,C=CCCCCC,1.0
50,C/C=C/CCCC,1.0
51,C=CCCCCCC,0.8
52,C/C=C/CCCCC,0.9
53,C=C(C)CC(C)(C)C,0.88
54,C=CCCCCCCCC,0.6999999999999998
55,C=CCCCCCCCCCC,0.4
56,C1=CCCCC1,1.2
57,C1=CCC(C=C)CC1,0.98
58,C1=[C@](C)(CCC([C@](=C)(C))C1),0.75
59,C=C=C,2.2
60,C=C=CC,1.6
61,C=CC=C,1.69
62,C=C(C)C=C,1.5
63,C1(C)=CC=CC1,1.3
64,C=CCC=CC,1.18
65,C1=CC2C(C3)C=CC3C2C1,0.8
66,C#C,2.5
67,CC#C,1.7
68,CC#CC,1.37
69,C#CCCCC,1.1
70,C=CC#C,2.2
71,c1ccccc1,1.2
72,c1ccccc1(C),1.1
73,c1ccccc1(CC),1.0
74,c1(C)ccccc1(C),1.1
75,c1(C)cc(C)ccc1,1.1
76,c1(C)ccc(C)cc1,1.1
77,c1(CCC)ccccc1,0.88
78,c1(C(C)C)ccccc1,0.88
79,c1(C)c(C)c(C)ccc1,0.8
80,c1(C)cc(C)cc(C)c1,0.88
81,c1(CCCC)ccccc1,0.8
82,c1(CC(C)C)ccccc1,0.8
83,c1(C(C)CC)ccccc1,0.8
84,c1(C(C)(C)C)ccccc1,0.8
85,c1(C(C)C)ccc(C)cc1,0.6999999999999998
86,c1(CC)ccc(CC)cc1,0.8
87,c1ccccc1(c2ccccc2),0.6999999999999998
88,C=Cc1ccccc1,1.1
89,C=Cc1cc(C)ccc1,0.6999999999999998
90,C1(CCC=CC)=CC=CC=C1C,0.68
91,C=Cc1ccc(C)cc1,0.8
92,c1(C(C)=C)ccccc1,0.9
93,c1(C=C)cc(C=C)ccc1,0.2999999999999999
94,c1cccc2ccccc21,0.88
95,c1(C)cccc2ccccc21,0.68
96,C1CCCc2ccccc21,0.8399999999999999
97,C1=CC=C2C(=C1)C=C1C(=C2)C=CC=C1,0.5999999999999999
98,C1(CC2C=CC1C2)C=C,0.8
99,CCC(C1CCCCC1)C,0.7399999999999999
100,C1C(C2(C)(C))CC2C(C)=C1,0.7399999999999999
101,[H][H],4.0
102,[C+]#[O-],12.5
103,[2H][2H],5.0
104,[AsH3],3.9
105,C=O,7.0
106,CC=O,4.0
107,CCC=O,2.6
108,CCCC=O,1.9
109,CCCCC(CC)C=O,0.8499999999999999
110,C=CC=O,2.8
111,C/C=C\C=O,2.1
112,C/C=C/C=O,2.1
113,C=C(C)C=O,2.48
114,c1ccccc1(C=O),1.4
115,C1(C)OC(C)OC(C)O1,1.3
116,CC(=O)C,2.6
117,CC(=O)CC,1.97
118,CCC(=O)CC,1.6
119,CC(C)CC(=O)C,1.2
120,CC(=O)CCC,1.6
121,CC(=O)C(C)C,1.4
122,CC(=O)CCCC,1.2
123,CC(=O)CCCCC,1.1
124,CC(=O)CCC(C)C,1.05
125,CC(C)=CC(=O)C,1.3
126,CC(C)CC(=O)CC(C)C,0.8
