,SMILES,Value
0,C,15.0
1,CC,12.4
2,CCC,9.5
3,CC(C)C,8.4
4,CCCC,8.4
5,CCCCC,7.8
6,CC(C)CC,7.599999999999999
7,CC(C)(C)C,7.5
8,CC(C)CCC,7.0
9,CCC(C)CC,7.0
10,CC(C)(C)CC,7.0
11,CC(C)C(C)C,7.0
12,CCCCCCC,6.7
13,CC(C)CCCC,6.0
14,CC(C)(C)CCC,6.8
15,CC(C)C(C)CC,6.7
16,CCCCCCCC,6.5
17,CC(C)(C)CC(C)C,6.0
18,CCCCCCCCC,5.6
19,CCC(CC)(CC)CC,5.7
20,CC(C)(C)C(C)(C)CC,4.9
21,CCCCCCCCCC,5.4
22,C1CC1,10.4
23,C1CCC1,10.0
24,C1(C)CCCC1,7.24
25,C1(CC)CCCC1,6.7
26,C1CCCCC1,7.8
27,C1CCCCC1(C),6.7
28,C1CCCCC1(CC),6.6
29,C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),4.9
30,C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),4.9
31,C1CCCCC1C2CCCCC2,5.1
32,C1CCCCC1(CC)(CC),6.0
33,C1CCCCCC1,6.7
34,C=C,36.0
35,C=CC,11.2
36,C=CCC,10.0
37,C/C=C\C,9.7
38,C/C=C/C,9.7
39,C=C(C)C,9.6
40,C=CCCC,8.699999999999998
41,CC(C)=CC,8.699999999999998
42,C=CCCCCCC,6.8
43,C=C(C)CC(C)(C)C,6.0
44,C=CCCCCCCCC,5.7
45,C=CCCCCCCCCCC,4.7
46,C1=CCCCC1,7.7
47,C1=[C@](C)(CCC([C@](=C)(C))C1),6.1
48,C=C=C,17.0
49,C=C=CC,18.3
50,C=CC=C,16.0
51,C=C(C)C=C,8.9
52,C1(C)=CC=CC1,7.599999999999999
53,C=CCC=CC,7.9
54,C1=CC2C(C3)C=CC3C2C1,6.3
55,C#C,80.0
56,C=CC#C,31.7
57,c1ccccc1,8.0
58,c1ccccc1(C),7.1
59,c1ccccc1(CC),6.7
60,c1(C)ccccc1(C),6.4
61,c1(C)cc(C)ccc1,6.4
62,c1(C)ccc(C)cc1,6.6
63,c1(C(C)C)ccccc1,6.5
64,c1(C)c(C)c(C)ccc1,6.6
65,c1(C)c(C)cc(C)cc1,7.3
66,c1(C)cc(C)cc(C)c1,7.29
67,c1(CCCC)ccccc1,5.8
68,c1(CC(C)C)ccccc1,6.0
69,c1(C(C)CC)ccccc1,6.9
70,c1(C(C)(C)C)ccccc1,5.8
71,c1(C(C)C)ccc(C)cc1,5.6
72,c1(CC)ccc(CC)cc1,6.1
73,c1ccccc1(c2ccccc2),5.8
74,C=C(c1ccccc1)CC,6.4
75,C=Cc1ccccc1,6.1
76,C=Cc1cc(C)ccc1,11.0
77,C=Cc1ccc(C)cc1,11.0
78,c1(C(C)=C)ccccc1,6.1
79,c1(C=C)cc(C=C)ccc1,6.2
80,c1cccc2ccccc21,5.9
81,c1(C)cccc2ccccc21,6.5
82,C1CCCc2ccccc21,5.0
83,CCC(C1CCCCC1)C,5.47
84,[H][H],75.0
85,[2H][2H],75.0
86,[AsH3],78.0
87,C=O,73.0
88,CC=O,30.0
89,CCC=O,17.0
90,CCCC=O,12.5
91,CCCCC(CC)C=O,6.6
92,C=CC=O,31.0
93,C/C=C/C=O,15.5
94,c1ccccc1(C=O),8.5
95,CC(=O)C,13.0
96,CC(=O)CC,10.1
97,CCC(=O)CC,8.0
98,CC(C)CC(=O)C,8.0
99,CCC(=O)CCC,8.0
100,CC(=O)CCC,8.199999999999998
