,SMILES,Value
0,CC(CC1C)(CCC1)C,291.15
1,CCCCC,224.15
2,CCCCCC,250.15
3,CCCCCCC,269.0
4,CC(C)CCCC,263.15
5,CCCCCCCC,287.15
6,CC(C)CCCCC,279.15
7,CCC(C)CCCC,279.15
8,CCCC(C)CCC,279.15
9,CCC(CC)CCC,278.0
10,CC(C)CC(C)CC,276.15
11,CC(C)CCC(C)C,275.15
12,CCC(C)C(C)CC,280.65
13,CCC(C)(CC)CC,276.0
14,CC(C)(C)C(C)CC,272.65
15,CC(C)C(C)(C)CC,275.65
16,CC(C)C(C)C(C)C,277.15
17,CC(C)(C)C(C)(C)C,281.0
18,CCCCCCCCC,304.15
19,CC(C)(C)CCC(C)C,282.15
20,CCC(C)(C)CC(C)CC,304.0
21,CC(C)CC(C)(C)CC,283.15
22,CCC(CC)(CC)CC,294.0
23,CC(C)(C)C(C)(C)CC,294.65
24,CC(C)(C)C(C)C(C)C,284.0
25,CC(C)(C)CC(C)(C)C,278.15
26,CC(C)C(C)(C)C(C)C,294.15
27,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,490.0
28,CCCCCCCCCC,322.85
29,C1CCCCC1CC(C)C,315.65
30,CCCCCCCCCCC,339.05
31,CCCCCCCCCCCCC,363.15
32,CCCCCCCCCCCCCC,382.45
33,CCCCCCCCCCCCCCCC,406.2
34,CCCCCCCCCCCCCCCCC,421.15
35,CCC(C)CCCCCC,319.15
36,CC(C)CCCCCCC,314.0
37,CCCC(C)CCCCC,317.15
38,CCCCC(C)CCCC,312.0
39,CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,368.15
40,CC(C)CCCCCC,299.15
41,CCC(C)CCCCC,298.65
42,CCCC(C)CCCC,296.15
43,CCC(CC)CCCC,296.15
44,CC(C)(C)CCCCC,292.15
45,C1CCCCC1(C),269.15
46,C1CCCCC1(CC),291.15
47,C1CCCCC1(C)(C),280.15
48,C1[C@@](C)([H])([C@]([H])(C)(CCC1)),288.15
49,C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),283.15
50,C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),284.26
51,C1[C@](C)([H])(CC[C@]([H])(C)(C1)),284.26
52,C1[C@](C)([H])(C[C@]([H])(C)(C[C@]1([H])(C))),292.15
