,SMILES,Value
0,C,-802620000.0
1,CC,-1428640000.0
2,CCC,-2043110000.0
3,CC(C)C,-2648120000.0
4,CCCC,-2657320000.0
5,CC(CC1C)(CCC1)C,-5441000000.0
6,CCCCC,-3244940000.0
7,CC(C)CC,-3239540000.0
8,CC(C)(C)C,-3250390000.0
9,CC1CC1,-2564440000.0
10,CCCCCC,-3855100000.0
11,CC(C)CCC,-3849150000.0
12,CCC(C)CC,-3851370000.0
13,CC(C)(C)CC,-3841100000.0
14,CC(C)C(C)C,-3847610000.0
15,CCCCCCC,-4464730000.0
16,CC(C)CCCC,-4459580000.0
17,CCC(C)CCC,-4462680000.0
18,CCC(CC)CC,-4464560000.0
19,CC(C)(C)CCC,-4450820000.0
20,CC(C)C(C)CC,-4460750000.0
21,CC(C)CC(C)C,-4455000000.0
22,CCC(C)(C)CC,-4456270000.0
23,CC(C)(C)C(C)C,-4452590000.0
24,CCCCCCCC,-5074150000.0
25,CC(C)CCCCC,-5069430000.0
26,CCC(C)CCCC,-5072100000.0
27,CCCC(C)CCC,-5072820000.0
28,CCC(CC)CCC,-5074070000.0
29,CC(C)(C)CCCC,-5062560000.0
30,CC(C)C(C)CCC,-5071850000.0
31,CC(C)CC(C)CC,-5067330000.0
32,CC(C)CCC(C)C,-5064070000.0
33,CCC(C)(C)CCC,-5066920000.0
34,CCC(C)C(C)CC,-5072770000.0
35,CC(C)C(CC)CC,-5073110000.0
36,CCC(C)(CC)CC,-5071600000.0
37,CC(C)(C)C(C)CC,-5067540000.0
38,CC(C)(C)CC(C)C,-5065280000.0
39,CC(C)C(C)(C)CC,-5068760000.0
40,CC(C)C(C)C(C)C,-5069430000.0
41,CC(C)(C)C(C)(C)C,-5063900000.0
42,CCCCCCCCC,-5684550000.0
43,CC(C)(C)CCC(C)C,-5666400000.0
44,CCC(C)(C)CC(C)CC,-6290300000.0
45,CC(C)CC(C)(C)CC,-5679600000.0
46,CCC(CC)(CC)CC,-5684400000.0
47,CC(C)(C)C(C)(C)CC,-5681500000.0
48,CC(C)(C)C(C)C(C)C,-5684000000.0
49,CC(C)(C)CC(C)(C)C,-5679800000.0
50,CC(C)C(C)(C)C(C)C,-5682200000.0
51,CCCCCCCCCC,-6294220000.0
52,CC(C)(C)CCC(C)(C)C,-6267700000.0
53,C1CC(C)C2CCCCC2C1,-6491600000.0
54,C2CCC1CCCC(CC)C1C2,-7101200000.0
55,CCCCCCCCCCC,-6903600000.0
56,CCCCCCCCCCCC,-7513680000.0
57,CCCCCCCCCCCCC,-8122900000.0
58,CCCCCCCCCCCCCC,-8732820000.0
59,CCCCCCCCCCCCCCC,-9342370000.0
60,CCCCCCCCCCCCCCCC,-9951450000.0
61,CCCCCCCCCCCCCCCCC,-10561800000.0
62,CCCCCCCCCCCCCCCCCC,-11171500000.0
63,CCCCCCCCCCCCCCCCCCC,-11781200000.0
64,CC(C)(C)CCCCCC,-6281000000.0
65,CCCCCCCCCCCCCCCCCCCC,-12390800000.0
66,CCC(C)CCCCCC,-6291000000.0
67,CC(C)CCCCCCC,-6289000000.0
68,CCCC(C)CCCCC,-6291000000.0
69,CCCCC(C)CCCC,-6291000000.0
70,CC(C)CCCCCC,-5679100000.0
71,CCC(C)CCCCC,-5681200000.0
72,CCCC(C)CCCC,-5680200000.0
73,CCC(CC)CCCC,-5683800000.0
74,CC(C)(C)CCCCC,-5672000000.0
75,C1CC1,-1959300000.0
76,C1CCC1,-2567800000.0
77,C1CCCC1,-3070900000.0
78,C1(C)CCCC1,-3674200000.0
79,C1(CC)CCCC1,-4283900000.0
80,C1(C)(C)CCCC1,-4275200000.0
81,C1[C@@](C)([H])([C@]([H])(C)(CC1)),-4282030000.0
82,C1[C@](C)([H])([C@]([H])(C)(CC1)),-4276090000.0
83,C1[C@@](C)([H])(C[C@]([H])(C)(C1)),-4277100000.0
84,C1[C@](C)([H])(C[C@]([H])(C)(C1)),-4279000000.0
85,C1CCCC1(CCC),-4893560000.0
86,C1CCCC1(C)(CC),-4889210000.0
87,C1CCCC1(CCCC),-5503700000.0
88,C(CCCC1)(C1)CCCCC,-6702140000.0
89,CC(C)CCCCCCCC,-6898910000.0
90,C1CCCCC1,-3656000000.0
91,C1CCCCC1(C),-4257140000.0
92,C1CCCCC1(CC),-4870510000.0
93,C1CCCCC1(C)(C),-4863900000.0
94,C1[C@@](C)([H])([C@]([H])(C)(CCC1)),-4870840000.0
95,C1[C@](C)([H])([C@]([H])(C)(CCC1)),-4864360000.0
96,C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),-4859720000.0
97,C1[C@](C)([H])(C[C@]([H])(C)(CC1)),-4866950000.0
98,C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),-4867040000.0
99,C1[C@](C)([H])(CC[C@]([H])(C)(C1)),-4860260000.0
100,C1[C@](C)([H])(C[C@]([H])(C)(C[C@]1([H])(C))),-5555000000.0
101,C1CCCCC1CCC,-5479660000.0
102,C1CCCCC1C(C)C,-5478000000.0
103,C1CCCCC1CCCC,-6090200000.0
104,C1C[C@]2(CCCC[C@]2(CC1)([H]))([H]),-5892130000.0
105,C1C[C@@]2(CCCC[C@]2(CC1)([H]))([H]),-5880880000.0
106,C1CCCCC1C2CCCCC2,-7053000000.0
107,C1CCCCC1(CC)(CC),-6077800000.0
108,C1CCCCC1(CCCCCCCCCC),-9749000000.0
109,C1CCCCCC1,-4289730000.0
110,C1CCCCCCC1,-4913180000.0
111,C1(CC)CCC(CC)CC1,-6087000000.0
