,SMILES,Value
0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.974
1,Cc1occc1C(=O)Nc2ccccc2,-2.885
2,CC(C)=CCCC(C)=CC(=O),-2.579
3,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-6.617999999999999
4,c1ccsc1,-2.232
5,c2ccc1scnc1c2 ,-2.733
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-6.545
7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-4.138
8,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-4.533
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-5.246
10,O=C1CCCN1,0.243
11,Clc1ccc2ccccc2c1,-4.063
12,CCCC=C,-2.01
13,CCC1(C(=O)NCNC1=O)c2ccccc2,-1.897
14,CCCCCCCCCCCCCC,-5.45
15,CC(C)Cl,-1.585
16,CCC(C)CO,-1.027
17,N#Cc1ccccc1,-2.03
18,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.989
19,CCCCCCCCCC(C)O,-3.096
20,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-6.627000000000001
21,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-3.355
22,CCOP(=S)(OCC)SCSCC,-3.747
23,CCOc1ccc(NC(=O)C)cc1,-2.342
24,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-4.479
25,CCCCCCCO,-1.751
26,Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.452
27,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.974
28,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.553
29,CCCCCCCC(=O)OC,-2.608
30,CCc1ccc(CC)cc1,-3.633
31,CCOP(=S)(OCC)SCSC(C)(C)C,-4.367
32,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.229
33,ClC(=C)Cl,-1.939
34,Cc1cccc2c1Cc3ccccc32,-4.478
35,CCCCC=O,-1.103
36,N(c1ccccc1)c2ccccc2,-3.857
37,CN(C)C(=O)SCCCCOc1ccccc1,-3.297
38,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.637
39,CCCCCCCI,-3.904
40,c1c(Cl)cccc1c2ccccc2,-4.685
41,OCCCC=C,-0.7909999999999999
42,O=C2NC(=O)C1(CCC1)C(=O)N2,-0.527
43,CC(C)C1CCC(C)CC1O ,-2.782
44,CC(C)OC=O,-0.684
45,CCCCCC(C)O,-1.6780000000000002
46,CC(=O)Nc1ccc(Br)cc1,-3.012
47,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.005
48,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.248
49,c2c(C)cc1nc(C)ccc1c2 ,-3.342
50,CCCCCCC#C,-2.509
51,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.421
52,c1ccc2c(c1)ccc3c4ccccc4ccc23,-5.568
53,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-3.419
54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.185
55,Cc1ccccc1O,-2.281
56,CC(C)CCC(C)(C)C,-3.631
57,Cc1ccc(C)c2ccccc12,-4.147
58,Cc1cc2c3ccccc3ccc2c4ccccc14,-5.931
59,CCCC(=O)C,-0.846
60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.304
61,CCCOC(=O)CC,-1.545
62,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-2.734
63,Nc1ccc(O)cc1,-1.231
64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.321
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-6.269
66,CCNc1nc(Cl)nc(n1)N(CC)CC,-3.233
67,NC(=O)c1cnccn1,-0.674
68,CCC(Br)(CC)C(=O)NC(N)=O,-2.198
69,Clc1ccccc1c2ccccc2Cl ,-4.984
70,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-1.243
71,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.361000000000001
72,CC1(C)C2CCC1(C)C(=O)C2,-2.158
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.36
74,CCCCC(=O)OCC,-1.899
75,CC(C)CCOC(=O)C,-1.817
76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.1530000000000005
77,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-5.7620000000000005
78,CCCBr,-1.949
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-4.603
80,COP(=S)(OC)SCC(=O)N(C)C=O,-2.087
81,Cc1ncnc2nccnc12,-1.24
82,NC(=S)N,0.3289999999999999
83,Cc1ccc(C)cc1,-3.035
84,CCc1ccccc1CC,-3.6010000000000004
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-4.215
86,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.877999999999999
87,CCCN(=O)=O,-0.816
88,CC(C)C1CCC(C)CC1=O,-2.516
89,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-4.423
90,O=N(=O)c1c(Cl)c(Cl)ccc1,-3.322
91,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.063
92,c1ccc2c(c1)c3cccc4cccc2c34,-4.957
93,CCCOC(C)C,-1.354
94,Cc1cc(C)c2ccccc2c1,-4.147
95,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-5.074
96,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-3.995
97,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-6.312
98,C1OC1c2ccccc2 ,-1.826
99,CC(C)c1ccccc1,-3.265
100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.939
101,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-4.438
102,C1OC(O)C(O)C(O)C1O,0.601
103,ClCCl,-1.156
104,CCc1cccc2ccccc12,-4.1
105,COC=O,-0.048
106,Oc1ccccc1N(=O)=O,-2.318
107,Cc1c[nH]c(=O)[nH]c1=O ,-0.78
108,CC(C)C,-1.891
109,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-0.8340000000000001
110,Oc1c(I)cc(C#N)cc1I,-4.615
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-5.032
112,CCCCC,-2.261
113,c1ccccc1O,-1.991
114,Nc3ccc2cc1ccccc1cc2c3 ,-3.789
115,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-1.05
116,c1ccc2cnccc2c1,-2.531
117,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-5.106
118,CCCCCCc1ccccc1,-4.22
119,Clc1ccccc1c2ccccc2,-4.5280000000000005
120,CCCC(=C)C,-2.3480000000000003
121,CC(C)C(C)C(C)C,-3.276
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.167999999999999
123,Oc1cccc(c1)N(=O)=O,-2.318
124,CCCCCCCCC=C,-3.781
125,CC(=O)OCC(COC(=O)C)OC(=O)C,-1.285
126,CCCCc1c(C)nc(nc1O)N(C)C ,-3.57
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-6.84
128,c1ccncc1,-1.481
129,CCCCCCCBr,-3.366
130,Cc1ccncc1C,-2.067
131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.172
132,CCSCc1ccccc1OC(=O)NC ,-2.855
133,CCOC(=O)CC(=O)OCC,-1.413
134,CC1=CCC(CC1)C(C)=C,-3.429
135,C1Cc2ccccc2C1,-3.057
136,CC(C)(C)c1ccc(O)cc1,-3.192
137,O=C2NC(=O)C1(CC1)C(=O)N2 ,-0.088
138,Clc1cccc(I)c1,-4.384
139,Brc1cccc2ccccc12,-4.434
140,CC/C=C/C,-2.076
141,Cc1cccc(C)n1,-2.0980000000000003
142,ClC=C(Cl)Cl,-2.312
143,Nc1cccc2ccccc12,-2.721
144,Cc1cccc(C)c1,-3.035
145,Oc2ncc1nccnc1n2,-1.404
146,CO,0.441
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.312
148,CCC(=O)C,-0.491
149,Fc1c[nH]c(=O)[nH]c1=O ,-0.792
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-0.892
151,Oc1cccc(O)c1,-1.59
152,CCCCCCO,-1.3969999999999998
153,CCCCCCl,-2.294
154,C=CC=C,-1.376
155,CCCOC(=O)C,-1.125
156,Oc2ccc1CCCCc1c2 ,-3.0860000000000003
157,NC(=O)CCl ,-0.106
158,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.148
159,Cc1ccc(Cl)cc1,-3.297
160,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.324
161,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.39
162,CCCCCC=O,-1.457
163,CCCCOC(=O)c1ccc(N)cc1,-3.039
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.049
165,CC(C)=CCC/C(C)=C\CO,-2.603
166,Clc1ccc(cc1)c2ccccc2Cl ,-5.142
167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.84
168,CCN(=O)=O,-0.462
169,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.063
170,Clc1ccc(Cl)c(Cl)c1Cl,-4.546
171,CCCC(C)(COC(N)=O)COC(N)=O ,-1.376
172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.342
173,CI,-1.646
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.5319999999999998
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.496
176,CC1=CC(=O)CC(C)(C)C1 ,-2.015
177,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-1.958
178,CCCCC(=O)CCCC,-2.329
179,CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.591
180,CCC(C)CC,-2.6
181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-6.896
182,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-3.881
183,ClCC#N,-0.4479999999999999
184,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.225
185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-3.858
186,c1ccnnc1,-0.619
187,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.621
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-5.681
189,Nc1ccccc1O,-1.465
190,CCCCCCCCC(=O)OCC,-3.3160000000000003
191,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-2.87
192,CNC(=O)Oc1ccccc1OC(C)C,-2.4090000000000003
193,CCC(C)Cl,-1.94
194,Oc1ccc2ccccc2c1,-3.08
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.265
196,CCCCC#C,-1.801
197,CCCCCCCC#C,-2.864
198,Cc1ccccc1Cl,-3.297
199,CC(C)OC(C)C,-1.281
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-2.464
201,CNN,0.5429999999999999
202,CC#C,-0.672
203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.557
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-2.826
205,C=CC=O,-0.184
206,O=c1[nH]cnc2nc[nH]c12 ,-0.6559999999999999
207,Oc2ccc1ncccc1c2 ,-2.725
208,Fc1ccccc1,-2.514
209,CCCCl,-1.585
210,CCOC(=O)C,-0.77
211,CCCC(C)(C)C,-2.938
212,Cc1cc(C)c(C)c(C)c1C,-3.993
213,CC12CCC(CC1)C(C)(C)O2 ,-2.579
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-4.726
215,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-5.299
216,Cc1cccnc1C,-2.067
217,CC(=C)C1CC=C(C)C(=O)C1,-2.042
218,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.827999999999999
219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.292
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-6.007000000000001
221,Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.604
222,c1c(Br)ccc2ccccc12 ,-4.434
223,CNC(=O)Oc1cccc(N=CN(C)C)c1,-1.846
224,COc2cnc1ncncc1n2,-1.589
225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.397
226,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.76
227,CC(=C)C=C,-1.714
228,CC(C)=CCCC(O)(C)C=C,-2.399
229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.265
230,OC1CCCCC1,-1.261
231,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.013
232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-3.882
233,OCC(O)C(O)C(O)C(O)CO ,0.647
234,Cc1ccc(cc1)c2ccccc2,-4.424
235,CCNc1nc(Cl)nc(NC(C)C)n1,-3.069
236,NC(=S)Nc1ccccc1,-1.7009999999999998
237,CCCC(=O)CCC,-1.62
238,CC(=O)C(C)(C)C,-1.25
239,Oc1ccc(Cl)cc1,-2.761
240,O=C1CCCCC1,-0.996
241,Cc1cccc(N)c1,-1.954
242,ClC(Cl)(Cl)C#N,-2.019
243,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.029
244,CCCCCCCCC(=O)C,-2.617
245,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.497
246,CCOC(=O)c1ccc(N)cc1,-2.383
247,Clc1ccc(Cl)c(Cl)c1,-4.083
248,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-3.948
249,Oc1ccccc1O,-1.635
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.794
251,CSC,-0.758
252,Cc1ccccc1Br,-3.667
253,CCOC(=O)N,-0.218
254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-4.417
255,CC(C)C(O)C(C)C,-1.6469999999999998
256,c1ccc2ccccc2c1,-3.468
257,CCNc1ccccc1,-2.389
258,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-3.057
259,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-6.297000000000001
260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-5.026
261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-5.537999999999999
262,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-5.462000000000001
263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-3.81
