,SMILES,Value
0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,6.04
1,Oc1ccc(O)cc1,3.47
2,O=C(OCc1ccccc1)c1ccccc1,4.4499998
3,Oc1ccc(OCc2ccccc2)cc1,4.04
4,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,4.4099998
5,O=C1CCO1,2.875
6,CC(C)(C)CC(C)(C)c1ccc(O)cc1,5.0999999
7,CC(C)O,1.118
8,CC1=CC(=O)c2ccccc2C1=O,4.54
9,CCO,1.0089999
10,COc1ccc(C(=O)c2ccccc2)c(O)c1,4.4200001
11,COc1ccc(O)cc1,2.8599999
12,CS(C)=O,0.54799998
13,CC(=O)Nc1ccc(O)cc1,2.1800001
14,CCCCCCCCCC=O,4.2820001
15,COc1ccc(C(C)=O)c(O)c1,3.55
16,CC1=CC(=O)c2c(O)cccc2C1=O,5.1999998
17,S=C=Nc1cccc2ccccc12,5.1370001
18,C=CCc1ccc(O)c(OC)c1,3.4200001
19,COc1cc(C=O)ccc1O,2.97
20,O=C(O)c1ccccc1O,2.49
21,c1ccc2ccccc2c1,2.8800001
22,Oc1cccc(O)c1O,3.8499999
23,CCCCC(=O)O,2.733
24,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.76
25,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.0599999
26,Oc1ccc2ccccc2c1,3.79
27,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.79
28,ClCc1ccccc1,3.0599999
29,Cc1ccc(O)cc1,2.8399999
30,Clc1ccc(Cl)cc1,3.53
31,CNc1ccccc1,3.0599999
32,Nc1cccc([N+](=O)[O-])c1,3.03
33,CC(=O)N(C)C,1.051
34,Oc1ccccc1Br,3.3299999
35,Clc1ccccc1Cl,3.53
36,Nc1ccc(O)cc1,2.9200001
37,Oc1ccccc1,2.6500001
38,S=C=Nc1ccccc1,4.4099998
39,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,2.8399999
40,c1ccncc1,1.6799999
41,Oc1cccc(O)c1,2.3499999
42,O=C(O)c1ccccc1,2.7
43,C=Cc1ccccc1,2.98
44,Sc1ccccc1,4.6599998
45,Oc1ccc(Br)cc1,3.6800001
46,Brc1ccccc1,3.0799999
47,CCCCCCCC(=O)O,3.0810001
48,CC(C)=O,0.796
49,C=CCO,1.082
50,CCOC(=O)c1ccc(N)cc1,3.7
51,O=C(c1ccccc1)c1ccccc1,3.8699999
52,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,6.0900002
53,c1ccc(-c2ccccc2)cc1,4.0500002
54,CCC(=O)O,2.4879999
55,O=C(O)CCC(=O)O,2.0610001
56,ClC(Cl)(Cl)Cl,2.98
57,CCOC(N)=O,1.35
58,CCC(C)=O,1.2539999
59,Cc1ccccc1,3.25
60,C=C(C)C(=O)OC,1.78
61,COc1ccccc1O,2.49
62,Oc1ccc(Cl)cc1,3.54
63,OCCN(CCO)CCO,1.251
64,CCCC(CCC)C(=O)O,3.026
65,NCCO,1.115
66,CCCCCCc1ccc(O)cc1O,4.8000002
67,NC(=O)c1ccccc1O,2.76
68,O=Cc1ccc(O)c(O)c1,3.1070001
69,Nc1cc(Cl)cc(Cl)c1,3.71
70,CC(N)=O,0.67799997
71,c1ccoc1,1.35
72,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],3.46
73,CC(=O)Nc1cccc(O)c1,2.8399999
74,Cc1cc(O)cc(C)c1Cl,4.1999998
75,O=C(O)c1c(Cl)cccc1Cl,2.3299999
76,O=C(O)c1c(Cl)cc(Cl)cc1Cl,2.5899999
77,O=C(O)c1cccc(Cl)c1Cl,2.5899999
78,O=C(O)c1cc(Cl)ccc1Cl,2.54
79,O=C(O)c1ccc(Cl)cc1Cl,2.6099999
80,O=C(O)c1cc(Cl)cc(Cl)c1,3.27
81,O=C(O)c1ccc(Cl)c(Cl)c1,3.3099999
82,NC(=O)c1ccccc1,2.0899999
83,C=CCN=C=S,5.0609999
84,CC(O)CO,0.49000001
85,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,5.1799998
86,Cc1cc(O)ccc1Cl,3.8
87,NC(N)=S,1.6799999
88,CCOS(=O)(=O)OCC,2.302
89,CCCCCC=O,2.8269999
90,O=Cc1cccc2ccccc12,3.4230001
91,O=Cc1ccc(Oc2ccccc2)cc1,4.2600002
92,CO,0.33399999
93,CS(C)(=O)=O,0.80000001
94,CCC(=O)c1ccc(O)cc1,3.1199999
95,CCCO,1.2539999
96,CCCCO,1.569
97,CCCCCO,1.97
98,O=C(O)c1ccc(Cl)cc1,3.1099999
99,CC#N,0.72299999
100,CC(C)N,2.1370001
101,CC(C)(C)O,1.209
102,CCC(C)(C)O,1.827
103,CC(=O)C(C)(C)C,1.558
104,CC(C)(C)C(=O)O,2.7460001
105,C#CC(C)(O)CC,1.677
106,C=CS(=O)(=O)C=C,4.4099998
107,CCC(C)(O)CCCC(C)C,3.3399999
108,CC(C)CBr,2.6800001
109,CC(C)C#N,1.381
110,CC(C)CO,1.628
111,CC(C)C=O,2.5669999
112,C=C(C)C=O,3.6700001
113,CC(N)CN,2.4400001
114,CCC(C)O,1.4579999
115,C=CC(C)=O,4.5100002
116,CC(O)CN,2.0699999
117,C=CC(N)=O,2.1930001
118,NC(=O)CCl,3.036
119,CNC(C)=O,1.02
120,COC(C)=O,1.405
121,CCC(C)(C)c1ccc(O)cc1,4.23
122,Cc1cccc(C)c1[N+](=O)[O-],3.3
123,Cc1c[nH]c2ccccc12,3.3699999
124,Cc1c(Cl)cccc1[N+](=O)[O-],3.6800001
