,SMILES,Value
0,Oc1ccc(O)cc1,3.041834651
1,S=P(N1CC1)(N1CC1)N1CC1,4.235583534
2,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.366732177
3,CN(C)C(=N)N=C(N)N,2.641603841
4,Cc1ccc(C(C)C)cc1O,3.311626674
5,COc1ccc(C(C)=O)c(O)c1,2.327917267
6,O=CC(O)C1OC(=O)C(O)C1O,1.48261524
7,O=c1ccc2cc(O)c(O)cc2o1,2.074677503
8,COc1cc(C=CC(=O)O)ccc1O,3.000416186
9,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,2.864785315
10,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,2.227714728
11,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,2.104215592
12,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,2.258198804
13,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,3.704748396
14,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,3.278486808
15,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,2.489800066
16,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,2.940764013
17,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,4.379467946
18,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,1.906379614
19,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,4.01755561
20,CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O,4.168693477
21,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.45152457
22,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,3.803623392
23,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,3.028519116
24,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.715417339
25,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,2.133887955
26,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,3.686077583
27,CC1OC(OC2C(OC(=O)C=Cc3ccc(O)c(O)c3)C(CO)OC3OCC(c4ccc(O)c(O)c4)OC32)C(O)C(O)C1O,2.09522237
28,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)CC12C,2.767778689
29,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC12C,2.797973475
