,SMILES,Value
0,Oc1ccc(O)cc1,2.981136811
1,S=P(N1CC1)(N1CC1)N1CC1,4.303848365
2,O=CC(O)C1OC(=O)C(O)C1O,1.740668562
3,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,2.814567428
4,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,3.602699381
5,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,1.454728154
6,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,3.140010194
7,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,2.93485839
8,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,4.02711274
9,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,3.958647485
10,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.906971738
11,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,3.66988189
12,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,3.172809931
13,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4.318259503
14,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,3.750014422
15,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,3.805416769
16,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.619854766
17,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,4.061436134
18,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.141968701
19,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,3.701465882
20,CC(C)C(O)(C(=O)OCC1=CCN2CCCC12)C(C)O,3.126014944
21,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,4.158018819
22,CCC1C(=O)OCC1Cc1cncn1C,3.371664679
23,CNC(C)C(O)c1ccccc1,3.379255582
24,CC(=O)NC(CS)C(=O)O,2.039264871
25,OCC1=CCN2CCC(O)C12,2.07328063
26,C=C(C)C1CC=C(C)CC1,3.092905574
27,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.407737805
28,CCOCCO,1.574619579
29,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.167128338
30,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,3.942948506
31,NC12CC3CC(CC(C3)C1)C2,3.225461488
32,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,2.336371665
33,NCCCCCC(=O)O,1.599337133
34,CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.296995642
35,COc1ccc(C(=O)N2CCCC2=O)cc1,3.641949789
36,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,4.288416244
37,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,4.211166949
38,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,4.171613925
39,O=NN(CCCl)C(=O)NCCCl,4.190640204
40,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,2.967835756
41,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.740957322
42,O=C(O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,2.921093034
43,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,3.8520493
44,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.121791832
45,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,3.638818224
46,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,3.260575783
47,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,4.028044247
48,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,4.176662704
49,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,3.5017109
50,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,3.224404875
51,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,4.125119366
52,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,2.442290946
53,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,3.766976172
54,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,2.296030833
55,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,2.227536215
56,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,1.921822427
57,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,2.15484224
58,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCC4)CSC12)c1csc(N)n1,2.433556781
59,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,5.245743891
60,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,3.276383858
